bin,n,predicted,observed,gap
0,1000,0.042957904645656825,0.079,0.036042095354343176
1,1000,0.051666032063467315,0.071,0.01933396793653268
2,1000,0.056819538817246475,0.075,0.018180461182753523
3,1000,0.06136056085359343,0.09,0.02863943914640657
4,1000,0.06600011695360543,0.07,0.003999883046394578
5,1000,0.07091905447366113,0.083,0.012080945526338871
6,1000,0.07661196840782607,0.075,-0.0016119684078260699
7,1000,0.08360371700493675,0.081,-0.002603717004936751
8,1000,0.09460600970769291,0.083,-0.011606009707692905
9,1000,0.12767174590879127,0.079,-0.04867174590879127
