decile,n,churners,churn_rate,lift,cum_recall
1,1000,75,0.075,0.9541984732824427,0.09541984732824428
2,1000,86,0.086,1.094147582697201,0.20483460559796438
3,1000,87,0.087,1.1068702290076335,0.3155216284987277
4,1000,85,0.085,1.0814249363867685,0.42366412213740456
5,1000,85,0.085,1.0814249363867685,0.5318066157760815
6,1000,75,0.075,0.9541984732824427,0.6272264631043257
7,1000,75,0.075,0.9541984732824427,0.72264631043257
8,1000,78,0.078,0.9923664122137404,0.821882951653944
9,1000,76,0.076,0.9669211195928753,0.9185750636132316
10,1000,64,0.064,0.8142493638676844,1.0
