CustomerID,Region,ContractType,age_missing,Age_imputed,is_male,MonthlyCharges_clean,charge_invalid,tenure_months,signup_year,signed_up_in_window,call_mean,call_median,call_min,call_max,call_sd,call_cv,call_slope,call_rel_slope,call_halfratio,call_last_minus_first,call_trend_r2,call_declining,data_mean,data_median,data_min,data_max,data_sd,data_cv,data_slope,data_rel_slope,data_halfratio,data_last_minus_first,data_trend_r2,data_declining,sms_mean,sms_median,sms_min,sms_max,sms_sd,sms_cv,sms_slope,sms_rel_slope,sms_halfratio,sms_last_minus_first,sms_trend_r2,sms_declining,comp_mean,comp_median,comp_min,comp_max,comp_sd,comp_cv,comp_slope,comp_rel_slope,comp_halfratio,comp_last_minus_first,comp_trend_r2,comp_declining,n_zero_data_months,n_complaint_months,complaints_total,call_hours,complaints_per_call_hour,data_per_call_min,sms_per_call_min,zero_data_complaint_interaction,Churn,dq_dup_conflict
CUST_0,Urban,Yearly,1,43.0,1,48.18,0,33.0,2021,0,492.2333333333333,477.525,434.82,590.26,50.48922118190728,0.10257172312976356,0.25237762237757666,0.0005127194874603711,0.9754619187342395,-58.129999999999995,0.00029775505103707834,0,9.795833333333333,9.555,5.99,14.16,2.6182387793239092,0.2672808622023557,0.2192657342657337,0.022383571341461544,1.2419590643274856,4.000000000000001,0.08357527700317326,0,25.0,25.0,9.0,41.0,11.683321445547923,0.4673328578219169,0.12587412587412491,0.005034965034964997,1.1379310344827587,1.0,0.0013832321524629221,0,0.5833333333333334,0.5,0.0,2.0,0.6400954789890506,1.097306535409801,-0.09440559440559443,-0.16183816183816185,0.3333333333333333,-1.0,0.25921536091027636,1,0,6,7,98.44666666666666,0.07110448974063792,0.019900792307171396,0.0507889212433128,0,0,0
CUST_1,Suburban,Prepaid,1,43.0,0,38.94,0,47.0,2020,0,452.0075,434.735,396.88,564.07,45.55660547147179,0.10078727780285016,-2.7041608391608465,-0.005982557455707807,0.9425340311121029,-29.00999999999999,0.04198721965681652,1,10.298333333333334,10.895,3.45,17.17,4.018759828050882,0.39023400175279643,-0.14706293706293774,-0.01428026577727183,1.0148377125193202,-9.76,0.015957952100177402,1,34.583333333333336,38.0,1.0,47.0,12.459657120304536,0.36027924203290224,0.2972027972027962,0.008593815822731455,1.3510638297872342,-7.0,0.006780291951394616,0,1.0833333333333333,1.0,0.0,3.0,0.8620067027323834,0.7956984948298924,0.017482517482517456,0.01613770844540073,1.2500000000000002,-1.0,0.004901640415659108,0,0,9,13,90.4015,0.14380292362405492,0.022783545258282956,0.076510529876901,0,0,0
CUST_2,Rural,Monthly,0,46.0,0,48.56,0,16.0,2022,0,578.355,566.635,537.58,647.67,33.64891293439755,0.05818037871964027,3.4486013986013617,0.005962776147178397,1.0123721069410399,44.10000000000002,0.12516955682341807,0,8.776666666666666,9.08,3.45,13.44,3.0480604033093277,0.34729134864899297,0.31307692307692275,0.03567150661719591,1.0575853852263704,9.989999999999998,0.12572156164534654,0,26.25,28.0,6.0,46.0,11.8118937234185,0.4499769037492762,-1.7727272727272736,-0.06753246753246757,0.43749999999999994,4.0,0.26841055017850596,1,0.5,0.5,0.0,1.0,0.5,1.0,0.006993006993006978,0.013986013986013957,1.0,0.0,0.002331002331002331,0,0,6,6,115.671,0.05187125554374043,0.015175223982963173,0.04538734860077288,0,0,0
CUST_3,Urban,Prepaid,1,43.0,0,24.22,0,61.0,2018,0,608.4841666666667,606.1949999999999,563.23,658.71,30.78656889465853,0.050595513541971414,-0.3466783216783315,-0.000569740908095387,1.0044960053477665,-61.75,0.0015110734732703252,1,11.125,10.965,6.79,16.96,3.1607422651438486,0.28411166428259316,-0.030349650349650585,-0.0027280584583955583,0.9547223204810754,-4.97,0.0010987123542229096,1,25.916666666666668,27.5,4.0,49.0,13.41925440882946,0.5177847360320048,-0.2692307692307707,-0.01038832550086575,0.8589743589743589,-16.0,0.004796753514504473,1,0.5,0.0,0.0,2.0,0.6454972243679028,1.2909944487358056,0.013986013986013958,0.027972027972027916,0.5,1.0,0.005594405594405593,0,0,5,6,121.69683333333334,0.049302844089342227,0.01828313801646441,0.04259217919940398,0,0,0
CUST_4,Rural,Monthly,0,60.0,1,67.86,0,12.0,2022,0,587.025,578.41,531.46,647.58,39.237619384972874,0.06684147929810975,6.1104195804195465,0.010409130071836033,1.09579595255727,53.73000000000002,0.2889958169336063,0,9.549999999999999,10.29,3.77,13.68,3.299699481265933,0.3455182702896265,0.18111888111888097,0.018965327865851412,1.0058892815076559,9.13,0.03590322557198985,0,19.083333333333332,18.0,7.0,32.0,9.852735096859597,0.5163005290930793,0.03846153846153786,0.0020154517971111546,0.9361702127659575,-23.0,0.00018159106792056237,0,0.5,0.0,0.0,2.0,0.7637626158259734,1.5275252316519468,-0.06993006993006996,-0.13986013986013993,0.3333333333333333,-2.0,0.09990009990009995,1,0,4,6,117.40499999999999,0.051105148843746014,0.016268472381925813,0.03250855301449399,0,0,0
CUST_5,Urban,Prepaid,0,25.0,0,44.77,0,17.0,2022,0,506.595,511.08500000000004,411.76,594.37,48.8994920730267,0.09652580872891896,5.620629370629328,0.011094916788814196,1.1043330350372642,89.41000000000003,0.15744033030781673,0,10.314166666666667,9.605,2.54,17.58,4.138982278961285,0.40129100224234804,0.3537412587412581,0.034296639774542274,1.5716862037871955,1.7199999999999989,0.08704405029035113,0,21.583333333333332,21.0,1.0,47.0,16.09585005176455,0.7457536703520256,0.40909090909090884,0.018954018954018943,0.9864864864864864,-35.0,0.007697799827963067,0,0.6666666666666666,0.0,0.0,3.0,0.9428090415820634,1.4142135623730951,0.020979020979020945,0.03146853146853142,3.0,1.0,0.005900349650349652,0,0,5,8,101.319,0.07895853689831127,0.020359787733133305,0.04260471053471379,0,0,0
CUST_6,Suburban,Yearly,0,38.0,0,38.67,0,14.0,2022,0,458.94499999999994,464.275,399.59,501.85,33.875976123697654,0.07381271421128384,-0.998531468531494,-0.002175710528563323,0.985143962563603,-19.25,0.010353678315019094,1,9.644166666666665,8.91,2.8,18.59,4.215061206224914,0.4370581048535295,-0.5851398601398606,-0.06067293114731123,0.7081784386617102,-6.590000000000001,0.2296499672888459,1,21.0,17.5,3.0,45.0,12.54325848148452,0.5972980229278343,-1.0209790209790222,-0.04861804861804867,0.76,-2.0,0.07895282683418277,1,0.3333333333333333,0.0,0.0,1.0,0.4714045207910317,1.4142135623730951,0.04895104895104894,0.14685314685314682,,0.0,0.12849650349650352,0,0,4,4,91.78899999999999,0.0435782065389099,0.021013774344783506,0.045757116865855395,0,0,0
CUST_7,Rural,Monthly,1,43.0,0,40.41,0,60.0,2018,0,407.7166666666667,411.245,319.35,503.48,53.41407185585295,0.13100782043703457,-3.2033566433566594,-0.007856820447263196,0.9178457918220158,42.65999999999997,0.04286018143901602,1,9.4425,9.66,5.65,11.83,1.9364965143268398,0.20508303037615458,-0.012132867132867623,-0.0012849210625223851,1.0964846671652955,-3.4299999999999997,0.0004677870938539629,1,25.166666666666668,26.0,1.0,46.0,14.553540997144154,0.5782863972375161,0.09090909090909002,0.0036122817579770867,1.6545454545454545,25.0,0.00046497764530551507,0,0.4166666666666667,0.0,0.0,1.0,0.4930066485916347,1.1832159566199232,0.003496503496503456,0.008391608391608294,1.0,0.0,0.0005994005994005982,0,0,5,5,81.54333333333334,0.061317091117197395,0.02315946531496546,0.06172587172464538,0,0,0
CUST_8,Suburban,Yearly,0,36.0,1,50.25,0,12.0,2022,0,523.3175,507.235,442.09,606.62,47.24665616474884,0.09028296620072679,-4.135489510489525,-0.007902448342525379,0.9057186921271206,5.75,0.09129909744598248,1,10.613333333333335,11.895,5.1,14.55,3.2965925168607395,0.3106085914127581,-0.052867132867133605,-0.004981199704817864,1.0067175572519085,-8.490000000000002,0.003064755058718731,1,23.666666666666668,19.0,1.0,49.0,13.719410418171117,0.5796933979508923,-0.09790209790209857,-0.0041367083620605025,0.5479452054794521,-5.0,0.000606831185343583,1,0.5,0.5,0.0,1.0,0.5,1.0,-0.013986013986014003,-0.027972027972028007,0.5,1.0,0.009324009324009324,1,0,6,6,104.66349999999998,0.05732657516708309,0.020280868370221396,0.04522429818736554,0,0,0
CUST_9,Urban,Yearly,1,43.0,1,51.79,0,14.0,2022,0,532.6891666666667,542.125,434.13,613.29,46.98237142062494,0.08819847363260615,-5.819895104895123,-0.010925499276272978,0.928725019741238,-131.41999999999996,0.182858535857333,1,10.475,10.690000000000001,5.24,16.22,3.6690586894551944,0.3502681326448873,-0.06951048951048994,-0.0066358462539847195,1.1089572192513368,5.489999999999998,0.004277068126585196,1,23.833333333333332,26.5,1.0,48.0,14.960132203812757,0.6276978547054304,0.7272727272727263,0.030514939605848657,1.2982456140350878,-5.0,0.028162975165581597,0,0.3333333333333333,0.0,0.0,1.0,0.4714045207910317,1.4142135623730951,0.013986013986013996,0.041958041958041994,1.0,-1.0,0.010489510489510502,0,0,4,4,106.53783333333334,0.0375453477403176,0.019664375878991343,0.04474153939054514,0,0,0
