feature,perm_importance
call_trend_r2,0.000722708170054287
call_halfratio,0.0005894614401914077
MonthlyCharges_clean,0.0005685285860492328
data_cv,0.000509568634078783
sms_sd,0.0004917563769261113
data_last_minus_first,0.0004231584749615047
sms_cv,0.00041379668399286194
data_trend_r2,0.00040335787282437253
call_last_minus_first,0.00039808323543495395
complaints_per_call_hour,0.0003572669314479304
data_max,0.00035262745981750053
data_min,0.00034887169706898646
comp_trend_r2,0.0003337105665623508
sms_trend_r2,0.00033230215553166077
data_mean,0.0003220290397785375
sms_rel_slope,0.0002901326723190767
data_median,0.00028295253765286965
sms_halfratio,0.0002773741253353279
call_cv,0.00027508200542263327
comp_rel_slope,0.0002593685568647253
data_sd,0.000246637625783519
tenure_months,0.0002456158373887574
call_min,0.00023150411117942583
call_mean,0.00022904629585134283
sms_last_minus_first,0.00022667132823104286
sms_per_call_min,0.0002262847055951589
sms_slope,0.00022564953983623682
data_per_call_min,0.00021728192135983537
call_max,0.0002159011262317545
call_median,0.00021474125832412482
sms_median,0.00018914131664888868
comp_slope,0.00017969667797259614
call_hours,0.0001777911806958299
data_halfratio,0.00017646561737278966
call_sd,0.00017268223872182186
call_rel_slope,0.00016448031566078657
call_slope,0.00015387580907690878
sms_mean,0.00014909825793361087
sms_min,0.0001471927606568002
complaints_total,0.0001384385195445814
comp_cv,0.00013087176224255704
Age_imputed,0.0001273921585196458
sms_max,0.000112120564402729
comp_sd,0.00010651453618262252
comp_halfratio,0.00010157128962398065
data_rel_slope,9.071823991704253e-05
data_slope,8.461512545077099e-05
comp_mean,7.65236659999946e-05
comp_median,5.937419050883186e-05
signup_year,4.636710040202274e-05
is_male,4.0181138228079225e-05
comp_last_minus_first,3.7861402412842085e-05
n_complaint_months,3.1813519751766604e-05
ContractType_Yearly,3.142689711586044e-05
ContractType_Prepaid,2.4467689670193416e-05
comp_max,1.6762852855300992e-05
sms_declining,1.6293382511745058e-05
call_declining,1.6017223486120004e-05
Region_Urban,1.5354441824588782e-05
comp_declining,1.3421328645280006e-05
age_missing,1.2289076640215057e-05
Region_Suburban,9.499870481399774e-06
zero_data_complaint_interaction,8.174307158426152e-06
data_declining,5.081326071465497e-06
comp_halfratio_nobase,4.335696702284508e-06
signed_up_in_window,2.8996697690297777e-06
charge_invalid,0.0
comp_min,0.0
dq_dup_conflict,0.0
n_zero_data_months,-8.837088819602101e-07
