feature,mean_abs_shap,share
call_halfratio,0.003037651371519375,0.034198026382288596
sms_sd,0.002993581446413372,0.03370188502927785
data_slope,0.002646039945976344,0.02978924597124767
complaints_per_call_hour,0.0026444876849802336,0.029771770541711918
data_cv,0.0026128642223548736,0.02941575206661599
call_trend_r2,0.0025864851839789505,0.02911877557392914
MonthlyCharges_clean,0.002388935663327725,0.02689475349477265
data_max,0.00235103970623857,0.02646811897296155
call_last_minus_first,0.0022112179643722194,0.02489399902555912
data_rel_slope,0.0021724036402051344,0.02445702548266939
data_last_minus_first,0.0020538078748562655,0.023121868607771094
sms_median,0.0020514489195435233,0.02309531137451643
data_min,0.0018626636164499894,0.020969957281445566
sms_trend_r2,0.0018372611485836493,0.02068397506689215
sms_cv,0.0018143063024319628,0.020425548296243975
data_trend_r2,0.0018040157268456923,0.020309696497486637
sms_halfratio,0.0017929041476342005,0.020184601800120685
data_sd,0.0017919105120464446,0.02017341540251
call_rel_slope,0.0017540579811853802,0.01974726977527971
call_max,0.0017421412914064877,0.019613111104120458
sms_rel_slope,0.0017334365743955497,0.01951511297807431
data_per_call_min,0.0016974704142624008,0.019110204203935482
call_slope,0.0016882320471419052,0.019006198219088725
tenure_months,0.0016092770185709784,0.01811731868031125
data_median,0.0016027554295889,0.018043898315435077
call_mean,0.0015664848179947513,0.01763556201199087
complaints_total,0.001514801801269969,0.01705371210451241
call_sd,0.0014977639860798198,0.016861899555240884
sms_mean,0.001486136912102813,0.016731001392817586
sms_per_call_min,0.001426571043135048,0.01606040595268823
sms_slope,0.0014170928880341805,0.01595370042313539
data_halfratio,0.0014120325189565211,0.015896730542771745
call_hours,0.0014084586848998235,0.015856496145729752
comp_slope,0.0013945081445144115,0.01569944028585704
comp_mean,0.001380210346725068,0.015538474985298525
comp_cv,0.001372065733255276,0.015446782532068064
call_cv,0.0013197236025395138,0.01485751228733043
sms_last_minus_first,0.0013031832469934405,0.014671300162844887
comp_trend_r2,0.0012939161314906727,0.01456697052731701
data_mean,0.001288773286688038,0.014509072131243812
Age_imputed,0.0012729534710946885,0.01433097188047221
comp_rel_slope,0.0012567696377896545,0.014148773500657713
call_median,0.001218303981645775,0.013715725279273944
call_min,0.0011724529486505718,0.013199532127312317
sms_min,0.0010085973059053121,0.011354837358838455
sms_max,0.0009819950517875335,0.011055347892510031
comp_halfratio,0.0009785240460789952,0.011016271141995933
comp_sd,0.0008851320483805468,0.009964859504988793
n_complaint_months,0.0006683522017821864,0.0075243414841827585
comp_median,0.0006046051831350422,0.00680667445829332
signup_year,0.0005516408117136227,0.006210398997530004
ContractType_Yearly,0.0005337768305899547,0.0060092854321328205
comp_last_minus_first,0.0005092583065432957,0.005733254699948097
is_male,0.0004438535085335178,0.004996924313637874
Region_Urban,0.0004375179468903409,0.004925598253560213
sms_declining,0.00038055052751660517,0.004284256284913076
comp_max,0.0003694390767862798,0.004159163033994323
zero_data_complaint_interaction,0.000362502288364914,0.004081068333705011
age_missing,0.00030162669575857525,0.0033957279613673736
ContractType_Prepaid,0.0002675538989922611,0.0030121347637879067
Region_Suburban,0.00023897209227987797,0.0026903593983961063
call_declining,0.00019582307799439824,0.002204585704041408
comp_declining,0.00017584397553471664,0.0019796600001187447
data_declining,0.00017400999433963193,0.0019590129509273304
comp_halfratio_nobase,0.00014087191564749716,0.0015859428547348408
signed_up_in_window,9.712941030089748e-05,0.0010934876092462212
n_zero_data_months,3.5166271960689464e-05,0.0003959035943209204
charge_invalid,0.0,0.0
comp_min,0.0,0.0
dq_dup_conflict,0.0,0.0
