feature,t,p,r
comp_last_minus_first,1.4482701978107824,0.1478775014451943,0.014125431087355486
comp_halfratio,-0.6352553927470764,0.5254601545604214,-0.006962609811900153
call_halfratio,0.5609626446759666,0.5749590904413286,0.005620511877851102
data_slope,-0.490498698580506,0.6238989177626382,-0.005075041945185896
call_last_minus_first,-0.4707915856550714,0.6379013192108655,-0.004782823099666289
sms_halfratio,-0.4459985941568099,0.6557080570810323,-0.00522491606285128
sms_last_minus_first,-0.4429856449657673,0.6578789093843816,-0.004330694315174692
sms_slope,-0.40216881586088216,0.6876528880842083,-0.004032959121438138
call_slope,0.3127050562504874,0.7545757105093658,0.0031764719363758204
comp_slope,-0.13625440262847205,0.8916496848787593,-0.0013430425359036388
data_last_minus_first,-0.12007267552432212,0.9044517183277082,-0.001205900762890112
data_halfratio,0.056411416455433655,0.9550262439938719,0.0005625294707452356
